Accession ID,Collection date,Submission date,Location
EPI_ISL_15818240,14/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Nova Serrana
EPI_ISL_15818239,14/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15818238,13/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15818237,14/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Joao Monlevade
EPI_ISL_15818236,14/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Joao Monlevade
EPI_ISL_15818231,14/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818230,13/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818229,14/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Corinto
EPI_ISL_15818228,14/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Itueta
EPI_ISL_15818200,07/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Martinho Campos
EPI_ISL_15818199,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Nova Serrana
EPI_ISL_15818198,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Lagoa Da Prata
EPI_ISL_15818197,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Lagoa Da Prata
EPI_ISL_15818193,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Pecanha
EPI_ISL_15814388,02/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15814387,01/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15814386,01/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15814385,01/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15814384,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15814383,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15814382,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15814381,29/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15814380,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15814379,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
